time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.Fix_quality,.Zone,.Letter
2022/10/06/11:57:57.034382,0,57477,0,GPS1_Frame,42.32820129394531,-71.10210418701172,57.0,326802.6875,4688357.0,4,19,T
2022/10/06/11:57:58.033297,0,57478,0,GPS1_Frame,42.32820129394531,-71.10208892822266,56.900001525878906,326803.78125,4688357.0,4,19,T
2022/10/06/11:57:59.044240,0,57479,0,GPS1_Frame,42.32819747924805,-71.1020736694336,56.900001525878906,326804.90625,4688356.5,4,19,T
2022/10/06/11:58:00.028965,0,57480,0,GPS1_Frame,42.32819366455078,-71.10205841064453,56.900001525878906,326806.0625,4688356.0,4,19,T
2022/10/06/11:58:01.027626,0,57481,0,GPS1_Frame,42.328189849853516,-71.10204315185547,56.79999923706055,326807.21875,4688355.5,4,19,T
2022/10/06/11:58:02.035193,0,57482,0,GPS1_Frame,42.32818603515625,-71.10203552246094,56.79999923706055,326808.375,4688355.0,4,19,T
2022/10/06/11:58:03.036608,0,57483,0,GPS1_Frame,42.328182220458984,-71.10202026367188,56.79999923706055,326809.5,4688354.5,4,19,T
2022/10/06/11:58:04.045742,0,57484,0,GPS1_Frame,42.32817840576172,-71.10200500488281,56.79999923706055,326810.46875,4688354.0,4,19,T
2022/10/06/11:58:05.037486,0,57485,0,GPS1_Frame,42.32817459106445,-71.10199737548828,56.79999923706055,326811.40625,4688354.0,4,19,T
2022/10/06/11:58:06.032207,0,57486,0,GPS1_Frame,42.32817077636719,-71.10198211669922,56.70000076293945,326812.375,4688353.5,4,19,T
2022/10/06/11:58:07.036441,0,57487,0,GPS1_Frame,42.32816696166992,-71.10197448730469,56.70000076293945,326813.3125,4688353.0,4,19,T
2022/10/06/11:58:08.029919,0,57488,0,GPS1_Frame,42.328163146972656,-71.10195922851562,56.70000076293945,326814.28125,4688352.5,4,19,T
2022/10/06/11:58:09.034156,0,57489,0,GPS1_Frame,42.32815933227539,-71.10194396972656,56.70000076293945,326815.28125,4688352.0,4,19,T
