time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.UTM_easting,.UTM_northing,.Fix_quality,.Zone,.Letter
2022/10/06/14:58:26.605120,0,68307,0,GPS1_Frame,42.33735656738281,-71.08655548095703,14.0,328108.28125,4689342.0,4,19,T
2022/10/06/14:58:27.603472,0,68308,0,GPS1_Frame,42.337364196777344,-71.0865707397461,14.100000381469727,328107.53125,4689343.0,4,19,T
2022/10/06/14:58:28.601412,0,68309,0,GPS1_Frame,42.337371826171875,-71.08657836914062,14.100000381469727,328106.65625,4689344.0,4,19,T
2022/10/06/14:58:29.613096,0,68310,0,GPS1_Frame,42.337379455566406,-71.08659362792969,14.100000381469727,328105.78125,4689344.5,4,19,T
2022/10/06/14:58:30.600160,0,68311,0,GPS1_Frame,42.33738327026367,-71.08660125732422,13.899999618530273,328104.96875,4689345.5,4,19,T
2022/10/06/14:58:31.593315,0,68312,0,GPS1_Frame,42.3373908996582,-71.08660888671875,13.600000381469727,328104.03125,4689346.0,5,19,T
2022/10/06/14:58:32.601558,0,68313,0,GPS1_Frame,42.337398529052734,-71.08662414550781,13.5,328103.25,4689347.0,2,19,T
2022/10/06/14:58:33.590369,0,68314,0,GPS1_Frame,42.337406158447266,-71.08663177490234,13.300000190734863,328102.375,4689347.5,2,19,T
2022/10/06/14:58:34.602470,0,68315,0,GPS1_Frame,42.33740997314453,-71.08663940429688,13.399999618530273,328101.5,4689348.0,2,19,T
2022/10/06/14:58:35.591981,0,68316,0,GPS1_Frame,42.33740997314453,-71.08665466308594,13.5,328100.59375,4689348.5,2,19,T
2022/10/06/14:58:36.600279,0,68317,0,GPS1_Frame,42.3374137878418,-71.08666229248047,13.699999809265137,328100.03125,4689349.0,5,19,T
2022/10/06/14:58:37.596823,0,68318,0,GPS1_Frame,42.3374137878418,-71.086669921875,13.699999809265137,328099.25,4689348.5,5,19,T
2022/10/06/14:58:38.599797,0,68319,0,GPS1_Frame,42.337406158447266,-71.08667755126953,13.800000190734863,328098.625,4689348.0,5,19,T
2022/10/06/14:58:39.612067,0,68320,0,GPS1_Frame,42.337398529052734,-71.0866928100586,14.100000381469727,328097.65625,4689347.0,5,19,T
2022/10/06/14:58:40.601847,0,68321,0,GPS1_Frame,42.3373908996582,-71.08670043945312,14.199999809265137,328096.84375,4689346.0,5,19,T
2022/10/06/14:58:41.601663,0,68322,0,GPS1_Frame,42.33738327026367,-71.08670806884766,14.100000381469727,328096.03125,4689345.5,5,19,T
2022/10/06/14:58:42.597994,0,68323,0,GPS1_Frame,42.33737564086914,-71.08671569824219,13.800000190734863,328095.375,4689344.5,5,19,T
2022/10/06/14:58:43.609852,0,68324,0,GPS1_Frame,42.337371826171875,-71.08672332763672,14.0,328094.53125,4689344.0,5,19,T
2022/10/06/14:58:44.610839,0,68325,0,GPS1_Frame,42.337364196777344,-71.08673858642578,14.0,328093.59375,4689343.5,5,19,T
2022/10/06/14:58:45.601025,0,68326,0,GPS1_Frame,42.33736038208008,-71.08674621582031,13.899999618530273,328092.59375,4689343.0,5,19,T
2022/10/06/14:58:46.596333,0,68327,0,GPS1_Frame,42.33735275268555,-71.08676147460938,14.5,328091.5625,4689342.0,5,19,T
2022/10/06/14:58:47.606558,0,68328,0,GPS1_Frame,42.33734893798828,-71.0867691040039,14.5,328090.65625,4689341.5,5,19,T
